team,team_name,year,week,weekly_attendance
Carolina,Panthers,2000,13,73295
Carolina,Panthers,2000,14,73358
Carolina,Panthers,2000,15,77481
Carolina,Panthers,2000,16,72159
Carolina,Panthers,2000,17,60637
Chicago,Bears,2000,1,64104
Chicago,Bears,2000,2,65569
Chicago,Bears,2000,3,66944
Chicago,Bears,2000,4,66944
Chicago,Bears,2000,5,59869
Chicago,Bears,2000,6,66944
Chicago,Bears,2000,7,66944
Chicago,Bears,2000,8,65553
Chicago,Bears,2000,9,NA
Chicago,Bears,2000,10,66944
Chicago,Bears,2000,11,72420
Chicago,Bears,2000,12,66944
Chicago,Bears,2000,13,77354
Chicago,Bears,2000,14,66944
Chicago,Bears,2000,15,66944
Chicago,Bears,2000,16,68306
Chicago,Bears,2000,17,71957
Cincinnati,Bengals,2000,1,NA
Cincinnati,Bengals,2000,2,64006
Cincinnati,Bengals,2000,3,45653
Cincinnati,Bengals,2000,4,68481
Cincinnati,Bengals,2000,5,61535
Cincinnati,Bengals,2000,6,63406
Cincinnati,Bengals,2000,7,54328
Cincinnati,Bengals,2000,8,61603
Cincinnati,Bengals,2000,9,73118
Cincinnati,Bengals,2000,10,54759
Cincinnati,Bengals,2000,11,62170
Cincinnati,Bengals,2000,12,60292
Cincinnati,Bengals,2000,13,63925
Cincinnati,Bengals,2000,14,50289
Cincinnati,Bengals,2000,15,68498
Cincinnati,Bengals,2000,16,50469
Cincinnati,Bengals,2000,17,64902
Cleveland,Browns,2000,1,72418
Cleveland,Browns,2000,2,64006
Cleveland,Browns,2000,3,73018
Cleveland,Browns,2000,4,45702
Cleveland,Browns,2000,5,73018
Cleveland,Browns,2000,6,44296
Cleveland,Browns,2000,7,75811
Cleveland,Browns,2000,8,57659
Cleveland,Browns,2000,9,73118
Cleveland,Browns,2000,10,72718
Cleveland,Browns,2000,11,72618
Cleveland,Browns,2000,12,68498
Cleveland,Browns,2000,13,68361
Cleveland,Browns,2000,14,51262
Cleveland,Browns,2000,15,72318
Cleveland,Browns,2000,16,72318
Cleveland,Browns,2000,17,NA
Dallas,Cowboys,2000,1,62872
Dallas,Cowboys,2000,2,66009
Dallas,Cowboys,2000,3,84431
Dallas,Cowboys,2000,4,64127
Dallas,Cowboys,2000,5,73310
Dallas,Cowboys,2000,6,NA
Dallas,Cowboys,2000,7,78189
Dallas,Cowboys,2000,8,62981
Dallas,Cowboys,2000,9,63554
Dallas,Cowboys,2000,10,65636
Dallas,Cowboys,2000,11,62170
Dallas,Cowboys,2000,12,69416
Dallas,Cowboys,2000,13,63878
Dallas,Cowboys,2000,14,65621
Dallas,Cowboys,2000,15,63467
Dallas,Cowboys,2000,16,61311
Dallas,Cowboys,2000,17,68498
Denver,Broncos,2000,1,65956
Denver,Broncos,2000,2,75466
Denver,Broncos,2000,3,62078
Denver,Broncos,2000,4,74596
Denver,Broncos,2000,5,75684
Denver,Broncos,2000,6,56079
Denver,Broncos,2000,7,75811
Denver,Broncos,2000,8,61603
Denver,Broncos,2000,9,NA
Denver,Broncos,2000,10,78305
Denver,Broncos,2000,11,75951
Denver,Broncos,2000,12,75218
Denver,Broncos,2000,13,68661
Denver,Broncos,2000,14,64900
Denver,Broncos,2000,15,75218
Denver,Broncos,2000,16,78406
Denver,Broncos,2000,17,76098
Detroit,Lions,2000,1,64900
Detroit,Lions,2000,2,74159
Detroit,Lions,2000,3,76928
Detroit,Lions,2000,4,66944
Detroit,Lions,2000,5,76438
Detroit,Lions,2000,6,77549
Detroit,Lions,2000,7,NA
Detroit,Lions,2000,8,65557
Detroit,Lions,2000,9,56971
Detroit,Lions,2000,10,77813
Detroit,Lions,2000,11,74309
Detroit,Lions,2000,12,77897
Detroit,Lions,2000,13,77923
Detroit,Lions,2000,14,64214
Detroit,Lions,2000,15,59854
Detroit,Lions,2000,16,77513
Detroit,Lions,2000,17,71957
Green Bay,Packers,2000,1,59870
Green Bay,Packers,2000,2,77722
Green Bay,Packers,2000,3,59869
Green Bay,Packers,2000,4,71801
Green Bay,Packers,2000,5,59869
Green Bay,Packers,2000,6,77549
Green Bay,Packers,2000,7,59870
Green Bay,Packers,2000,8,NA
Green Bay,Packers,2000,9,73740
Green Bay,Packers,2000,10,59854
Green Bay,Packers,2000,11,65621
Green Bay,Packers,2000,12,59869
Green Bay,Packers,2000,13,73295
Green Bay,Packers,2000,14,66944
Green Bay,Packers,2000,15,59854
Green Bay,Packers,2000,16,64183
Green Bay,Packers,2000,17,59692
Indianapolis,Colts,2000,1,78357
Indianapolis,Colts,2000,2,56769
Indianapolis,Colts,2000,3,NA
Indianapolis,Colts,2000,4,56816
Indianapolis,Colts,2000,5,72617
Indianapolis,Colts,2000,6,60292
Indianapolis,Colts,2000,7,63593
Indianapolis,Colts,2000,8,56828
Indianapolis,Colts,2000,9,56971
Indianapolis,Colts,2000,10,66944
Indianapolis,Colts,2000,11,56657
Indianapolis,Colts,2000,12,59869
Indianapolis,Colts,2000,13,56935
Indianapolis,Colts,2000,14,78138
Indianapolis,Colts,2000,15,56671
Indianapolis,Colts,2000,16,73884
Indianapolis,Colts,2000,17,56672
Jacksonville,Jaguars,2000,1,72418
Jacksonville,Jaguars,2000,2,68843
Jacksonville,Jaguars,2000,3,45653
Jacksonville,Jaguars,2000,4,56816
Jacksonville,Jaguars,2000,5,64351
Jacksonville,Jaguars,2000,6,65194
Jacksonville,Jaguars,2000,7,68498
Jacksonville,Jaguars,2000,8,69061
Jacksonville,Jaguars,2000,9,63554
Jacksonville,Jaguars,2000,10,NA
Jacksonville,Jaguars,2000,11,68063
Jacksonville,Jaguars,2000,12,50925
Jacksonville,Jaguars,2000,13,65454
Jacksonville,Jaguars,2000,14,51262
Jacksonville,Jaguars,2000,15,53472
Jacksonville,Jaguars,2000,16,50469
Jacksonville,Jaguars,2000,17,77924
Kansas City,Chiefs,2000,1,78357
Kansas City,Chiefs,2000,2,68203
Kansas City,Chiefs,2000,3,77604
Kansas City,Chiefs,2000,4,74596
Kansas City,Chiefs,2000,5,82893
Kansas City,Chiefs,2000,6,NA
Kansas City,Chiefs,2000,7,79025
Kansas City,Chiefs,2000,8,79142
Kansas City,Chiefs,2000,9,62141
Kansas City,Chiefs,2000,10,62428
Kansas City,Chiefs,2000,11,68002
Kansas City,Chiefs,2000,12,78457
Kansas City,Chiefs,2000,13,47228
Kansas City,Chiefs,2000,14,60292
Kansas City,Chiefs,2000,15,77481
Kansas City,Chiefs,2000,16,78406
Kansas City,Chiefs,2000,17,41017
Miami,Dolphins,2000,1,72949
Miami,Dolphins,2000,2,64112
Miami,Dolphins,2000,3,73464
Miami,Dolphins,2000,4,73344
Miami,Dolphins,2000,5,61535
Miami,Dolphins,2000,6,73901
Miami,Dolphins,2000,7,NA
Miami,Dolphins,2000,8,78389
Miami,Dolphins,2000,9,73740
Miami,Dolphins,2000,10,77813
Miami,Dolphins,2000,11,56896
Miami,Dolphins,2000,12,74320
Miami,Dolphins,2000,13,56935
Miami,Dolphins,2000,14,73002
Miami,Dolphins,2000,15,74307
Miami,Dolphins,2000,16,73884
Miami,Dolphins,2000,17,60292
Minnesota,Vikings,2000,1,64104
Minnesota,Vikings,2000,2,64112
Minnesota,Vikings,2000,3,60292
Minnesota,Vikings,2000,4,NA
Minnesota,Vikings,2000,5,76438
Minnesota,Vikings,2000,6,64162
Minnesota,Vikings,2000,7,66944
Minnesota,Vikings,2000,8,64116
Minnesota,Vikings,2000,9,65589
Minnesota,Vikings,2000,10,59854
Minnesota,Vikings,2000,11,64223
Minnesota,Vikings,2000,12,64208
Minnesota,Vikings,2000,13,63878
Minnesota,Vikings,2000,14,64214
Minnesota,Vikings,2000,15,66273
Minnesota,Vikings,2000,16,64183
Minnesota,Vikings,2000,17,56672
New England,Patriots,2000,1,60292
New England,Patriots,2000,2,77687
New England,Patriots,2000,3,60292
New England,Patriots,2000,4,73344
New England,Patriots,2000,5,75684
New England,Patriots,2000,6,60292
New England,Patriots,2000,7,60292
New England,Patriots,2000,8,56828
New England,Patriots,2000,9,NA
New England,Patriots,2000,10,60292
New England,Patriots,2000,11,72618
New England,Patriots,2000,12,60292
New England,Patriots,2000,13,77923
New England,Patriots,2000,14,60292
New England,Patriots,2000,15,66944
New England,Patriots,2000,16,47230
New England,Patriots,2000,17,60292
New Orleans,Saints,2000,1,64900
New Orleans,Saints,2000,2,51300
New Orleans,Saints,2000,3,59513
New Orleans,Saints,2000,4,64900
New Orleans,Saints,2000,5,NA
New Orleans,Saints,2000,6,66944
New Orleans,Saints,2000,7,50015
New Orleans,Saints,2000,8,56508
New Orleans,Saints,2000,9,35286
New Orleans,Saints,2000,10,64900
New Orleans,Saints,2000,11,72981
New Orleans,Saints,2000,12,64900
New Orleans,Saints,2000,13,66064
New Orleans,Saints,2000,14,64900
New Orleans,Saints,2000,15,67892
New Orleans,Saints,2000,16,64900
New Orleans,Saints,2000,17,64900
New York,Giants,2000,1,77434
New York,Giants,2000,2,65530
New York,Giants,2000,3,66944
New York,Giants,2000,4,78216
New York,Giants,2000,5,68341
New York,Giants,2000,6,50947
New York,Giants,2000,7,78189
New York,Giants,2000,8,NA
New York,Giants,2000,9,78087
New York,Giants,2000,10,72718
New York,Giants,2000,11,78174
New York,Giants,2000,12,77897
New York,Giants,2000,13,42094
New York,Giants,2000,14,83485
New York,Giants,2000,15,78164
New York,Giants,2000,16,61311
New York,Giants,2000,17,77924
New York,Jets,2000,1,59870
New York,Jets,2000,2,77687
New York,Jets,2000,3,77884
New York,Jets,2000,4,65619
New York,Jets,2000,5,NA
New York,Jets,2000,6,78441
New York,Jets,2000,7,60292
New York,Jets,2000,8,78389
New York,Jets,2000,9,72861
New York,Jets,2000,10,78305
New York,Jets,2000,11,56657
New York,Jets,2000,12,74320
New York,Jets,2000,13,77354
New York,Jets,2000,14,78138
New York,Jets,2000,15,62632
New York,Jets,2000,16,77513
New York,Jets,2000,17,69184
Oakland,Raiders,2000,1,56373
Oakland,Raiders,2000,2,56769
Oakland,Raiders,2000,3,62078
Oakland,Raiders,2000,4,45702
Oakland,Raiders,2000,5,NA
Oakland,Raiders,2000,6,68344
Oakland,Raiders,2000,7,79025
Oakland,Raiders,2000,8,57490
Oakland,Raiders,2000,9,66659
Oakland,Raiders,2000,10,62428
Oakland,Raiders,2000,11,75951
Oakland,Raiders,2000,12,64900
Oakland,Raiders,2000,13,55175
Oakland,Raiders,2000,14,55811
Oakland,Raiders,2000,15,62632
Oakland,Raiders,2000,16,68681
Oakland,Raiders,2000,17,60637
Philadelphia,Eagles,2000,1,62872
Philadelphia,Eagles,2000,2,65530
Philadelphia,Eagles,2000,3,59869
Philadelphia,Eagles,2000,4,64900
Philadelphia,Eagles,2000,5,65424
Philadelphia,Eagles,2000,6,65491
Philadelphia,Eagles,2000,7,38293
Philadelphia,Eagles,2000,8,65553
Philadelphia,Eagles,2000,9,78087
Philadelphia,Eagles,2000,10,65636
Philadelphia,Eagles,2000,11,56702
Philadelphia,Eagles,2000,12,65356
Philadelphia,Eagles,2000,13,83284
Philadelphia,Eagles,2000,14,65639
Philadelphia,Eagles,2000,15,72318
Philadelphia,Eagles,2000,16,NA
Philadelphia,Eagles,2000,17,64902
Pittsburgh,Steelers,2000,1,55049
Pittsburgh,Steelers,2000,2,NA
Pittsburgh,Steelers,2000,3,73018
Pittsburgh,Steelers,2000,4,51769
Pittsburgh,Steelers,2000,5,64351
Pittsburgh,Steelers,2000,6,78441
Pittsburgh,Steelers,2000,7,54328
Pittsburgh,Steelers,2000,8,57659
Pittsburgh,Steelers,2000,9,69405
Pittsburgh,Steelers,2000,10,68498
Pittsburgh,Steelers,2000,11,56702
Pittsburgh,Steelers,2000,12,50925
Pittsburgh,Steelers,2000,13,63925
Pittsburgh,Steelers,2000,14,55811
Pittsburgh,Steelers,2000,15,78164
Pittsburgh,Steelers,2000,16,58183
Pittsburgh,Steelers,2000,17,50809
San Diego,Chargers,2000,1,56373
San Diego,Chargers,2000,2,51300
San Diego,Chargers,2000,3,77604
San Diego,Chargers,2000,4,47233
San Diego,Chargers,2000,5,66010
San Diego,Chargers,2000,6,56079
San Diego,Chargers,2000,7,72351
San Diego,Chargers,2000,8,NA
San Diego,Chargers,2000,9,66659
San Diego,Chargers,2000,10,59884
San Diego,Chargers,2000,11,56896
San Diego,Chargers,2000,12,75218
San Diego,Chargers,2000,13,47228
San Diego,Chargers,2000,14,57255
San Diego,Chargers,2000,15,68805
San Diego,Chargers,2000,16,72159
San Diego,Chargers,2000,17,50809
San Francisco,49ers,2000,1,54626
San Francisco,49ers,2000,2,66879
San Francisco,49ers,2000,3,65945
San Francisco,49ers,2000,4,64127
San Francisco,49ers,2000,5,66985
San Francisco,49ers,2000,6,68344
San Francisco,49ers,2000,7,59870
San Francisco,49ers,2000,8,73169
San Francisco,49ers,2000,9,68109
San Francisco,49ers,2000,10,64900
San Francisco,49ers,2000,11,68002
San Francisco,49ers,2000,12,67447
San Francisco,49ers,2000,13,NA
San Francisco,49ers,2000,14,57255
San Francisco,49ers,2000,15,67892
San Francisco,49ers,2000,16,68306
San Francisco,49ers,2000,17,76098
Seattle,Seahawks,2000,1,72949
Seattle,Seahawks,2000,2,64869
Seattle,Seahawks,2000,3,59513
Seattle,Seahawks,2000,4,47233
Seattle,Seahawks,2000,5,82893
Seattle,Seahawks,2000,6,72192
Seattle,Seahawks,2000,7,63593
Seattle,Seahawks,2000,8,57490
Seattle,Seahawks,2000,9,62141
Seattle,Seahawks,2000,10,59884
Seattle,Seahawks,2000,11,68063
Seattle,Seahawks,2000,12,NA
Seattle,Seahawks,2000,13,68661
Seattle,Seahawks,2000,14,44680
Seattle,Seahawks,2000,15,75218
Seattle,Seahawks,2000,16,68681
Seattle,Seahawks,2000,17,61025
St. Louis,Rams,2000,1,65956
St. Louis,Rams,2000,2,64869
St. Louis,Rams,2000,3,65945
St. Louis,Rams,2000,4,58761
St. Louis,Rams,2000,5,66010
St. Louis,Rams,2000,6,NA
St. Louis,Rams,2000,7,66019
St. Louis,Rams,2000,8,79142
St. Louis,Rams,2000,9,68109
St. Louis,Rams,2000,10,66048
St. Louis,Rams,2000,11,78174
St. Louis,Rams,2000,12,66087
St. Louis,Rams,2000,13,66064
St. Louis,Rams,2000,14,73358
St. Louis,Rams,2000,15,66273
St. Louis,Rams,2000,16,65653
St. Louis,Rams,2000,17,64900
Tampa Bay,Buccaneers,2000,1,60292
Tampa Bay,Buccaneers,2000,2,65569
Tampa Bay,Buccaneers,2000,3,76928
Tampa Bay,Buccaneers,2000,4,65619
Tampa Bay,Buccaneers,2000,5,83532
Tampa Bay,Buccaneers,2000,6,64162
Tampa Bay,Buccaneers,2000,7,NA
Tampa Bay,Buccaneers,2000,8,65557
Tampa Bay,Buccaneers,2000,9,65589
Tampa Bay,Buccaneers,2000,10,70097
Tampa Bay,Buccaneers,2000,11,65621
Tampa Bay,Buccaneers,2000,12,66944
Tampa Bay,Buccaneers,2000,13,65546
Tampa Bay,Buccaneers,2000,14,65621
Tampa Bay,Buccaneers,2000,15,74307
Tampa Bay,Buccaneers,2000,16,65653
Tampa Bay,Buccaneers,2000,17,59692
Tennessee,Titans,2000,1,72492
Tennessee,Titans,2000,2,68203
Tennessee,Titans,2000,3,NA
Tennessee,Titans,2000,4,51769
Tennessee,Titans,2000,5,68341
Tennessee,Titans,2000,6,63406
Tennessee,Titans,2000,7,68498
Tennessee,Titans,2000,8,69200
Tennessee,Titans,2000,9,83472
Tennessee,Titans,2000,10,68498
Tennessee,Titans,2000,11,68490
Tennessee,Titans,2000,12,68498
Tennessee,Titans,2000,13,65454
Tennessee,Titans,2000,14,65639
Tennessee,Titans,2000,15,68498
Tennessee,Titans,2000,16,72318
Tennessee,Titans,2000,17,68498
Washington,Redskins,2000,1,80257
Washington,Redskins,2000,2,74159
Washington,Redskins,2000,3,84431
Washington,Redskins,2000,4,78216
Washington,Redskins,2000,5,83532
Washington,Redskins,2000,6,65491
Washington,Redskins,2000,7,83252
Washington,Redskins,2000,8,69061
Washington,Redskins,2000,9,83472
Washington,Redskins,2000,10,52244
Washington,Redskins,2000,11,NA
Washington,Redskins,2000,12,66087
Washington,Redskins,2000,13,83284
Washington,Redskins,2000,14,83485
Washington,Redskins,2000,15,63467
Washington,Redskins,2000,16,58183
Washington,Redskins,2000,17,65711
Arizona,Cardinals,2001,1,NA
Arizona,Cardinals,2001,2,50913
Arizona,Cardinals,2001,3,28878
Arizona,Cardinals,2001,4,66360
Arizona,Cardinals,2001,5,66944
Arizona,Cardinals,2001,6,35916
Arizona,Cardinals,2001,7,63114
Arizona,Cardinals,2001,8,33430
Arizona,Cardinals,2001,9,36917
Arizona,Cardinals,2001,10,32322
Arizona,Cardinals,2001,11,49398
Arizona,Cardinals,2001,12,46601
Arizona,Cardinals,2001,13,40056
Arizona,Cardinals,2001,14,77913
Arizona,Cardinals,2001,15,48883
Arizona,Cardinals,2001,16,72025
Arizona,Cardinals,2001,17,61721
Atlanta,Falcons,2001,1,65989
Atlanta,Falcons,2001,2,47804
Atlanta,Falcons,2001,3,28878
Atlanta,Falcons,2001,4,46483
Atlanta,Falcons,2001,5,46727
Atlanta,Falcons,2001,6,70020
Atlanta,Falcons,2001,7,NA
Atlanta,Falcons,2001,8,44229
Atlanta,Falcons,2001,9,69010
Atlanta,Falcons,2001,10,59849
Atlanta,Falcons,2001,11,72234
Atlanta,Falcons,2001,12,59318
Atlanta,Falcons,2001,13,68826
Atlanta,Falcons,2001,14,55603
Atlanta,Falcons,2001,15,43320
Atlanta,Falcons,2001,16,73559
Atlanta,Falcons,2001,17,66033
Baltimore,Ravens,2001,1,69365
Baltimore,Ravens,2001,2,51121
Baltimore,Ravens,2001,3,75082
Baltimore,Ravens,2001,4,69494
Baltimore,Ravens,2001,5,59866
Baltimore,Ravens,2001,6,72818
Baltimore,Ravens,2001,7,69439
Baltimore,Ravens,2001,8,62906
Baltimore,Ravens,2001,9,68798
Baltimore,Ravens,2001,10,69353
Baltimore,Ravens,2001,11,53530
Baltimore,Ravens,2001,12,69382
Baltimore,Ravens,2001,13,NA
Baltimore,Ravens,2001,14,69506
Baltimore,Ravens,2001,15,68987
Baltimore,Ravens,2001,16,65619
Baltimore,Ravens,2001,17,69465
Buffalo,Bills,2001,1,71447
Buffalo,Bills,2001,2,56135
Buffalo,Bills,2001,3,72874
Buffalo,Bills,2001,4,72654
Buffalo,Bills,2001,5,NA
Buffalo,Bills,2001,6,58893
Buffalo,Bills,2001,7,63698
Buffalo,Bills,2001,8,63786
Buffalo,Bills,2001,9,60292
Buffalo,Bills,2001,10,60836
Buffalo,Bills,2001,11,73063
Buffalo,Bills,2001,12,67252
Buffalo,Bills,2001,13,44549
Buffalo,Bills,2001,14,45527
Buffalo,Bills,2001,15,43320
Buffalo,Bills,2001,16,78200
Buffalo,Bills,2001,17,73428
Carolina,Panthers,2001,1,64108
Carolina,Panthers,2001,2,47804
Carolina,Panthers,2001,3,73120
Carolina,Panthers,2001,4,66944
Carolina,Panthers,2001,5,72049
Carolina,Panthers,2001,6,74480
Carolina,Panthers,2001,7,72642
Carolina,Panthers,2001,8,72597
Carolina,Panthers,2001,9,66069
Carolina,Panthers,2001,10,72665
Carolina,Panthers,2001,11,72234
Carolina,Panthers,2001,12,70020
Carolina,Panthers,2001,13,44549
Carolina,Panthers,2001,14,NA
Carolina,Panthers,2001,15,72438
Carolina,Panthers,2001,16,72025
Carolina,Panthers,2001,17,71907
Chicago,Bears,2001,1,69365
Chicago,Bears,2001,2,66944
Chicago,Bears,2001,3,NA
Chicago,Bears,2001,4,46483
Chicago,Bears,2001,5,66944
Chicago,Bears,2001,6,63408
Chicago,Bears,2001,7,66944
Chicago,Bears,2001,8,66944
Chicago,Bears,2001,9,66944
Chicago,Bears,2001,10,65612
Chicago,Bears,2001,11,64214
Chicago,Bears,2001,12,66944
Chicago,Bears,2001,13,59869
Chicago,Bears,2001,14,66944
Chicago,Bears,2001,15,78884
Chicago,Bears,2001,16,76067
Chicago,Bears,2001,17,66944
Cincinnati,Bengals,2001,1,51521
Cincinnati,Bengals,2001,2,51121
Cincinnati,Bengals,2001,3,56048
Cincinnati,Bengals,2001,4,62335
Cincinnati,Bengals,2001,5,64217
Cincinnati,Bengals,2001,6,63408
Cincinnati,Bengals,2001,7,69343
Cincinnati,Bengals,2001,8,NA
Cincinnati,Bengals,2001,9,57161
Cincinnati,Bengals,2001,10,63865
Cincinnati,Bengals,2001,11,72918
Cincinnati,Bengals,2001,12,52135
Cincinnati,Bengals,2001,13,44920
Cincinnati,Bengals,2001,14,77745
Cincinnati,Bengals,2001,15,68987
Cincinnati,Bengals,2001,16,63751
Cincinnati,Bengals,2001,17,68798
Cleveland,Browns,2001,1,72318
Cleveland,Browns,2001,2,73168
Cleveland,Browns,2001,3,57875
Cleveland,Browns,2001,4,73018
Cleveland,Browns,2001,5,64217
Cleveland,Browns,2001,6,72818
Cleveland,Browns,2001,7,NA
Cleveland,Browns,2001,8,66944
Cleveland,Browns,2001,9,73218
Cleveland,Browns,2001,10,69353
Cleveland,Browns,2001,11,72918
Cleveland,Browns,2001,12,72818
Cleveland,Browns,2001,13,60292
Cleveland,Browns,2001,14,72818
Cleveland,Browns,2001,15,59824
Cleveland,Browns,2001,16,68798
Cleveland,Browns,2001,17,59189
Dallas,Cowboys,2001,1,61521
Dallas,Cowboys,2001,2,63430
Dallas,Cowboys,2001,3,66621
Dallas,Cowboys,2001,4,61535
Dallas,Cowboys,2001,5,63941
Dallas,Cowboys,2001,6,NA
Dallas,Cowboys,2001,7,63114
Dallas,Cowboys,2001,8,78673
Dallas,Cowboys,2001,9,69010
Dallas,Cowboys,2001,10,63204
Dallas,Cowboys,2001,11,64104
Dallas,Cowboys,2001,12,85112
Dallas,Cowboys,2001,13,61821
Dallas,Cowboys,2001,14,63366
Dallas,Cowboys,2001,15,48883
Dallas,Cowboys,2001,16,64366
Dallas,Cowboys,2001,17,77512
Denver,Broncos,2001,1,75735
Denver,Broncos,2001,2,50913
Denver,Broncos,2001,3,75082
Denver,Broncos,2001,4,75037
Denver,Broncos,2001,5,61837
Denver,Broncos,2001,6,67521
Denver,Broncos,2001,7,74750
Denver,Broncos,2001,8,62637
Denver,Broncos,2001,9,74951
Denver,Broncos,2001,10,74622
Denver,Broncos,2001,11,64104
Denver,Broncos,2001,12,73938
Denver,Broncos,2001,13,74524
Denver,Broncos,2001,14,77778
Denver,Broncos,2001,15,NA
Denver,Broncos,2001,16,75582
Denver,Broncos,2001,17,56192
Detroit,Lions,2001,1,59523
Detroit,Lions,2001,2,73168
Detroit,Lions,2001,3,NA
Detroit,Lions,2001,4,77765
Detroit,Lions,2001,5,64048
Detroit,Lions,2001,6,76940
Detroit,Lions,2001,7,69343
Detroit,Lions,2001,8,67605
Detroit,Lions,2001,9,74268
Detroit,Lions,2001,10,32322
Detroit,Lions,2001,11,77730
Detroit,Lions,2001,12,66944
Detroit,Lions,2001,13,65514
Detroit,Lions,2001,14,72190
Detroit,Lions,2001,15,62809
Detroit,Lions,2001,16,76067
Detroit,Lions,2001,17,77512
Green Bay,Packers,2001,1,59523
Green Bay,Packers,2001,2,59771
Green Bay,Packers,2001,3,73120
Green Bay,Packers,2001,4,65510
Green Bay,Packers,2001,5,59866
Green Bay,Packers,2001,6,64165
Green Bay,Packers,2001,7,NA
Green Bay,Packers,2001,8,59861
Green Bay,Packers,2001,9,66944
Green Bay,Packers,2001,10,59849
Green Bay,Packers,2001,11,77730
Green Bay,Packers,2001,12,66908
Green Bay,Packers,2001,13,59869
Green Bay,Packers,2001,14,68804
Green Bay,Packers,2001,15,59824
Green Bay,Packers,2001,16,59870
Green Bay,Packers,2001,17,78601
Indianapolis,Colts,2001,1,78606
Indianapolis,Colts,2001,2,56135
Indianapolis,Colts,2001,3,60292
Indianapolis,Colts,2001,4,NA
Indianapolis,Colts,2001,5,56972
Indianapolis,Colts,2001,6,56022
Indianapolis,Colts,2001,7,74212
Indianapolis,Colts,2001,8,63786
Indianapolis,Colts,2001,9,57127
Indianapolis,Colts,2001,10,70020
Indianapolis,Colts,2001,11,56393
Indianapolis,Colts,2001,12,69382
Indianapolis,Colts,2001,13,73858
Indianapolis,Colts,2001,14,55603
Indianapolis,Colts,2001,15,56302
Indianapolis,Colts,2001,16,66084
Indianapolis,Colts,2001,17,56192
Jacksonville,Jaguars,2001,1,63785
Jacksonville,Jaguars,2001,2,65994
Jacksonville,Jaguars,2001,3,57875
Jacksonville,Jaguars,2001,4,54524
Jacksonville,Jaguars,2001,5,NA
Jacksonville,Jaguars,2001,6,58893
Jacksonville,Jaguars,2001,7,69439
Jacksonville,Jaguars,2001,8,68798
Jacksonville,Jaguars,2001,9,57161
Jacksonville,Jaguars,2001,10,62644
